date,weekday,n1,n2,n3,n4,n5,e1,e2
2017-06-09,Friday,13,17,20,24,47,5,8
2017-06-16,Friday,1,24,25,31,38,1,7
2017-06-23,Friday,6,14,19,27,35,2,4
2017-06-30,Friday,1,3,11,18,31,3,6
2017-07-07,Friday,15,16,17,23,30,6,9
2017-07-14,Friday,3,9,25,31,49,8,9
2017-07-21,Friday,27,35,36,38,48,2,3
2017-07-28,Friday,14,18,26,40,45,1,5
2017-08-04,Friday,18,39,44,46,47,4,6
2017-08-11,Friday,13,14,21,23,40,1,3
2017-08-18,Friday,1,4,20,32,34,3,6
2017-08-25,Friday,11,20,28,41,45,5,9
2017-09-01,Friday,3,4,9,19,28,1,7
2017-09-08,Friday,11,38,40,42,48,4,5
2017-09-15,Friday,15,22,29,33,47,3,7
2017-09-22,Friday,10,17,32,36,47,2,5
2017-09-29,Friday,2,12,15,29,44,7,10
2017-10-06,Friday,5,17,28,40,44,1,8
2017-10-13,Friday,9,40,43,44,46,1,8
2017-10-20,Friday,1,10,25,46,49,1,6
2017-10-27,Friday,2,20,23,29,50,4,5
2017-11-03,Friday,2,35,44,45,50,6,7
2017-11-10,Friday,1,14,17,24,50,8,9
2017-11-17,Friday,3,4,17,41,47,2,5
2017-11-24,Friday,11,16,18,22,43,7,8
2017-12-01,Friday,5,16,20,29,30,2,7
2017-12-08,Friday,9,15,20,24,34,1,5
2017-12-15,Friday,1,7,12,16,18,1,4
2017-12-22,Friday,16,26,32,40,47,1,6
2017-12-29,Friday,16,30,33,40,43,2,4
2018-01-05,Friday,2,7,38,40,45,7,10
2018-01-12,Friday,16,17,25,40,44,2,9
2018-01-19,Friday,3,9,17,45,47,4,9
2018-01-26,Friday,10,23,26,29,35,3,5
2018-02-02,Friday,15,24,29,33,41,7,8
2018-02-09,Friday,7,8,24,34,46,4,8
2018-02-16,Friday,4,8,19,25,44,9,10
2018-02-23,Friday,18,26,33,42,46,4,10
2018-03-02,Friday,16,18,20,27,46,3,5
2018-03-09,Friday,15,23,28,33,36,4,7
2018-03-16,Friday,4,27,37,48,49,3,4
2018-03-23,Friday,4,14,22,33,42,1,10
2018-03-30,Friday,5,15,17,29,32,5,7
2018-04-06,Friday,6,8,16,23,50,4,8
2018-04-13,Friday,3,10,21,25,34,7,10
2018-04-20,Friday,22,24,25,28,46,2,4
2018-04-27,Friday,9,21,31,32,33,9,10
2018-05-04,Friday,24,26,29,36,49,3,6
2018-05-11,Friday,3,14,17,37,39,5,10
2018-05-18,Friday,1,11,23,41,44,2,8
2018-05-25,Friday,15,31,35,40,46,3,8
2018-06-01,Friday,14,19,21,30,32,4,7
2018-06-08,Friday,5,13,22,36,39,9,10
2018-06-15,Friday,1,5,7,9,21,3,10
2018-06-22,Friday,16,24,33,35,43,6,7
2018-06-29,Friday,9,18,30,47,48,4,6
2018-07-06,Friday,2,7,24,38,45,5,8
2018-07-13,Friday,13,14,21,34,46,2,5
2018-07-20,Friday,13,33,40,42,43,7,9
2018-07-27,Friday,2,22,40,43,50,3,8
2018-08-03,Friday,4,8,12,25,31,7,8
2018-08-10,Friday,4,15,17,21,23,6,7
2018-08-17,Friday,2,12,32,43,44,3,4
2018-08-24,Friday,8,25,26,38,48,6,9
2018-08-31,Friday,3,6,9,18,24,2,7
2018-09-07,Friday,4,7,28,36,43,1,6
2018-09-14,Friday,24,33,35,46,49,5,9
2018-09-21,Friday,5,8,16,42,46,2,10
2018-09-28,Friday,3,8,13,18,40,6,10
2018-10-05,Friday,12,15,32,44,49,5,7
2018-10-12,Friday,6,26,31,42,50,2,9
2018-10-19,Friday,9,12,28,32,48,7,8
2018-10-26,Friday,18,19,33,38,44,4,10
2018-11-02,Friday,5,17,27,33,42,9,10
2018-11-09,Friday,8,32,34,46,49,3,5
2018-11-16,Friday,13,15,18,39,45,5,6
2018-11-23,Friday,17,22,28,31,46,5,10
2018-11-30,Friday,18,22,35,36,41,3,4
2018-12-07,Friday,4,16,21,31,42,4,6
2018-12-14,Friday,4,14,24,26,30,9,10
2018-12-21,Friday,3,16,20,34,49,2,10
2018-12-28,Friday,19,24,31,38,40,7,10
2019-01-04,Friday,3,10,25,32,43,1,3
2019-01-11,Friday,6,12,35,39,49,4,9
2019-01-18,Friday,2,9,23,36,47,2,9
2019-01-25,Friday,24,25,28,35,48,4,8
2019-02-01,Friday,6,29,38,45,47,2,3
2019-02-08,Friday,5,8,21,24,26,4,5
2019-02-15,Friday,1,24,30,31,47,7,9
2019-02-22,Friday,14,16,21,25,26,8,10
2019-03-01,Friday,7,16,18,19,24,1,6
2019-03-08,Friday,4,29,30,31,45,1,7
2019-03-15,Friday,1,2,11,19,47,2,7
2019-03-22,Friday,15,20,24,44,49,7,9
2019-03-29,Friday,4,9,15,24,42,8,9
2019-04-05,Friday,22,31,43,44,50,1,9
2019-04-12,Friday,14,16,21,30,37,4,8
2019-04-19,Friday,18,21,37,43,47,1,3
2019-04-26,Friday,1,6,11,17,38,4,8
2019-05-03,Friday,3,9,10,19,42,1,7
2019-05-10,Friday,5,7,15,19,29,3,8
2019-05-17,Friday,20,27,33,35,46,5,9
2019-05-24,Friday,8,26,38,47,50,3,7
2019-05-31,Friday,10,12,35,36,43,2,5
2019-06-07,Friday,7,8,20,35,38,5,9
2019-06-14,Friday,8,23,40,41,42,2,10
2019-06-21,Friday,20,27,37,41,45,1,7
2019-06-28,Friday,18,25,26,35,38,5,6
2019-07-05,Friday,1,15,34,48,50,6,10
2019-07-12,Friday,31,36,40,42,45,7,9
2019-07-19,Friday,31,32,45,47,49,7,9
2019-07-26,Friday,3,8,30,46,48,1,3
2019-08-02,Friday,6,11,38,41,44,9,10
2019-08-09,Friday,2,4,20,21,49,9,10
2019-08-16,Friday,7,20,35,42,44,3,7
2019-08-23,Friday,15,18,19,41,42,4,6
2019-08-30,Friday,10,18,32,35,46,3,10
2019-09-06,Friday,21,24,29,30,50,1,5
2019-09-13,Friday,3,21,22,33,47,2,9
2019-09-20,Friday,17,21,41,48,49,4,8
2019-09-27,Friday,21,24,26,34,47,4,6
2019-10-04,Friday,15,19,20,45,49,7,8
2019-10-11,Friday,8,12,13,39,44,4,9
2019-10-18,Friday,6,9,31,43,44,6,9
2019-10-25,Friday,2,30,34,35,45,1,2
2019-11-01,Friday,3,17,31,34,40,1,2
2019-11-08,Friday,14,20,23,39,49,4,10
2019-11-15,Friday,10,19,24,30,39,2,4
2019-11-22,Friday,3,12,24,37,38,3,7
2019-11-29,Friday,2,3,30,31,45,6,8
2019-12-06,Friday,8,14,23,30,45,1,9
2019-12-13,Friday,25,31,38,49,50,5,10
2019-12-20,Friday,12,20,21,22,35,4,10
2019-12-27,Friday,7,12,28,34,45,3,6
2020-01-03,Friday,6,27,30,35,41,4,5
2020-01-10,Friday,4,14,25,34,49,4,9
2020-01-17,Friday,1,23,32,45,49,5,10
2020-01-24,Friday,5,12,20,29,48,7,9
2020-01-31,Friday,1,7,12,23,39,3,4
2020-02-07,Friday,7,16,22,36,44,3,4
2020-02-14,Friday,2,6,30,32,49,1,4
2020-02-21,Friday,2,13,39,45,47,4,6
2020-02-28,Friday,12,22,24,29,38,5,6
2020-03-06,Friday,15,19,35,36,41,5,10
2020-03-13,Friday,1,17,29,39,42,7,8
2020-03-20,Friday,9,14,28,30,37,3,10
2020-03-27,Friday,13,19,23,34,41,3,8
2020-04-03,Friday,3,21,26,40,41,8,10
2020-04-10,Friday,2,7,8,43,50,2,3
2020-04-17,Friday,1,18,23,33,41,2,6
2020-04-24,Friday,6,13,15,34,35,1,5
2020-05-01,Friday,6,11,12,21,41,1,2
2020-05-08,Friday,9,11,15,36,43,8,9
2020-05-15,Friday,21,27,29,34,49,8,10
2020-05-22,Friday,12,15,32,40,45,7,10
2020-05-29,Friday,8,22,31,32,36,6,10
2020-06-05,Friday,9,16,17,29,39,1,8
2020-06-12,Friday,7,16,22,30,48,2,8
2020-06-19,Friday,2,22,33,38,47,2,9
2020-06-26,Friday,14,16,32,34,47,7,9
2020-07-03,Friday,12,34,36,47,48,5,7
2020-07-10,Friday,5,6,9,15,29,4,9
2020-07-17,Friday,13,21,25,34,35,5,10
2020-07-24,Friday,7,11,19,32,43,2,8
2020-07-31,Friday,3,19,28,43,49,2,3
2020-08-07,Friday,4,9,15,24,28,2,6
2020-08-14,Friday,9,20,27,35,48,5,9
